date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:38	36066/36066	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2019:51:28%20GMT	https://validthemes.live/themeforest/essay/index-banner.html	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/index-banner.html	(from )
16:46:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2011:16:37%20GMT	https://validthemes.live/robots.txt		(from )
16:46:38	2624/2624	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2022:25:14%20GMT	https://validthemes.live/themeforest/essay/assets/img/favicon.png	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/favicon.png	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:40	5135/5135	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2020:18:12%20GMT	https://validthemes.live/themeforest/essay/index.html	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/index.html	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:40	4037/4037	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2021:56:42%20GMT	https://validthemes.live/themeforest/essay/assets/img/logo-light.png	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/logo-light.png	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:40	5370/5370	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2021:56:32%20GMT	https://validthemes.live/themeforest/essay/assets/img/logo.png	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/logo.png	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:42	277040/277040	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2019:43:56%20GMT	https://validthemes.live/themeforest/essay/assets/css/plugins.min.css	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/css/plugins.min.css	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:42	80342/80342	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2004:55:22%20GMT	https://validthemes.live/themeforest/essay/assets/img/banner/6.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/banner/6.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:46	113786/113786	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:01:12%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/1.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/1.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:47	103094/103094	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:01:24%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/2.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/2.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:47	62024/62024	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:01:32%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/3.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/3.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:49	57789/57789	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:01:38%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/4.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/4.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:49	64325/64325	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:08:16%20GMT	https://validthemes.live/themeforest/essay/assets/img/author/3.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/author/3.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:49	73463/73463	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:02:10%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/8.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/8.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:49	207531/207531	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2001:14:38%20GMT	https://validthemes.live/themeforest/essay/assets/img/banner/2.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/banner/2.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:51	29416/29416	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:02:28%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/10.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/10.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:52	12975/12975	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Mar%202018%2017:51:24%20GMT	https://validthemes.live/themeforest/essay/assets/img/author/8.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/author/8.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
16:46:53	152944/152944	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Apr%202018%2010:33:56%20GMT	https://validthemes.live/themeforest/essay/assets/img/portfolio/9.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/portfolio/9.jpg	(from https://validthemes.live/themeforest/essay/index-banner.html)
